#,"Country,Other",TotalCases,TotalTests,TotalRecovered,Population,TotalCases - PopulationRatio,TotalDeaths - PopulationRatio,TotalTests - PopulationRatio
193,Gambia,12626,155686,"12,189",2558482,0.004934958,0.000145399,0.060850926
194,Saint Martin,12324,112382,0,39730,0.310193808,0.001585703,2.828643343
195,Vanuatu,12019,24976,"11,976",321832,0.037345572,4.35E-05,0.077605707
196,Greenland,11971,164926,"2,761",56973,0.210117073,0.000368596,2.894809822
197,Yemen,11945,329592,"9,124",31154867,0.000383407,6.93E-05,0.01057915
198,Caribbean Netherlands,11682,30126,"10,476",26647,0.438398319,0.001426052,1.130558787
199,Sint Maarten,11051,62056,"10,905",43966,0.251353318,0.002092526,1.411454306
200,Eritrea,10189,23693,"10,086",3662244,0.002782174,2.81E-05,0.006469531
201,Niger,9931,254538,"8,890",26083660,0.000380736,1.20E-05,0.009758523
202,St. Vincent Grenadines,9674,114197,"9,493",111551,0.086722665,0.001111599,1.023720092
203,Guinea-Bissau,9614,145231,"8,929",2063367,0.004659375,8.58E-05,0.070385443
204,Comoros,9109,0,"8,939",907419,0.010038362,0.000177426,0
205,Antigua and Barbuda,9106,18901,"8,954",99509,0.091509311,0.001467204,0.189942618
206,Liberia,8090,139824,"7,783",5305117,0.001524943,5.56E-05,0.02635644
207,Sierra Leone,7779,259958,0,8306436,0.000936503,1.52E-05,0.031295973
208,Chad,7701,191341,"4,874",17413580,0.000442241,1.11E-05,0.010988033
209,British Virgin Islands,7392,107339,0,30596,0.241600209,0.002091777,3.508269055
210,Cook Islands,7203,19690,"7,150",17571,0.409936828,0.000113824,1.120596437
211,Sao Tome and Principe,6778,29600,"6,685",227679,0.029769983,0.000351372,0.130007598
212,Turks and Caicos,6752,616788,"6,709",39741,0.169900103,0.001006517,15.52019325
213,Saint Kitts and Nevis,6607,126958,"6,559",53871,0.122644837,0.000891017,2.356703978
214,Palau,6290,71434,"6,276",18233,0.344978884,0.000548456,3.917841277
215,St. Barth,5507,78646,0,9945,0.553745601,0.000603318,7.90809452
216,Nauru,5393,20509,"5,347",10903,0.494634504,9.17E-05,1.881041915
217,Kiribati,5085,0,"2,703",123419,0.041201112,0.00019446,0
218,Anguilla,3904,51382,0,15230,0.256336179,0.000787919,3.373736047
219,Wallis and Futuna,3550,20508,438,10982,0.323256237,0.000728465,1.867419414
220,Saint Pierre Miquelon,3452,25400,"2,449",5759,0.59940962,0.000347283,4.410487932
221,Tuvalu,2943,0,0,12066,0.243908503,8.29E-05,0
222,Saint Helena,2166,0,2,6115,0.354210957,0,0
223,Falkland Islands,1930,8632,"1,930",3539,0.545351794,0,2.439107092
224,Montserrat,1403,17762,"1,376",4965,0.282578046,0.001611279,3.577442095
225,Niue,1059,0,"1,056",1622,0.652897657,0,0
226,Diamond Princess,712,0,699,0,inf,inf,
227,Tokelau,80,0,0,1378,0.058055152,0,0
228,Vatican City,29,0,29,799,0.036295369,0,0
229,Western Sahara,10,0,9,626161,1.60E-05,1.60E-06,0
230,MS Zaandam,9,0,7,0,inf,inf,
231,China,503302,160000000,"379,053",1448471400,0.000347471,3.64E-06,0.110461277
